agent_id,quarter_initial,income_initial,quintile_initial,skills_initial,oer_engaged_initial,signal_completed_initial,employment_initial,quarter_final,income_final,quintile_final,skills_final,oer_engaged_final,signal_completed_final,employment_final
0,0,1305.2694535468204,0,0.0,False,False,employed,40,4788.4267111709005,0,0.0,False,False,employed
1,0,80865.27749374104,2,0.0,False,False,employed,40,39936.572564221366,1,0.0,False,False,employed
2,0,1949.1408806179302,0,0.0,False,False,employed,40,3272.342511966417,0,0.0,False,False,employed
3,0,60807.338159854306,2,0.0,False,False,employed,40,88090.6949728557,2,0.0,False,False,employed
4,0,5872.234506664848,0,0.0,False,False,employed,40,11399.47189977301,0,0.0,False,False,employed
5,0,139588.58862370264,4,0.0,False,False,not_in_lf,40,139588.58862370264,3,0.0,False,False,not_in_lf
6,0,25861.167949510407,0,0.0,False,False,employed,40,112632.34368337301,3,0.0,False,False,employed
7,0,114492.58097210014,2,0.0,False,False,employed,40,96705.71341893038,3,0.0,False,False,employed
8,0,93139.37139653537,2,0.0,False,False,employed,40,231390.60197408218,4,0.0,False,False,employed
9,0,175456.53577139057,3,0.0,False,False,employed,40,421058.8303884712,4,0.0,False,False,employed
10,0,38534.54390369311,1,0.0,False,False,employed,40,42884.26978637886,1,0.0,False,False,employed
11,0,51367.212231341735,1,0.0,False,False,employed,40,67722.6057115016,2,0.0,False,False,employed
12,0,434844.9868882065,4,0.0,False,False,employed,40,813984.8003703405,4,0.0,False,False,employed
13,0,28782.393976641386,0,0.0,False,False,employed,40,23347.376666525808,0,0.0,False,False,employed
14,0,371381.2632530637,4,0.0,False,False,employed,40,3035958.4497004463,4,0.0,False,False,employed
15,0,78762.70262158121,2,0.0,False,False,employed,40,158078.1018488262,3,0.0,False,False,employed
16,0,76477.94355770008,3,0.0,True,False,employed,40,118003.4690878748,3,12.46616782452153,False,False,employed
17,0,198648.05000700007,3,0.0,False,False,employed,40,485294.5425792,4,0.0,False,False,employed
18,0,42755.309229837534,1,0.0,False,False,unemployed,40,274077.65096014354,4,0.0,False,False,employed
19,0,21646.832729580485,0,0.0,False,False,employed,40,95807.53718968395,2,0.0,False,False,employed
20,0,125699.27334738683,1,0.0,False,False,employed,40,50939.081536236365,1,0.0,False,False,employed
21,0,27799.973359056614,0,0.0,False,False,employed,40,10930.310162998156,0,0.0,False,False,employed
22,0,138335.53186715618,3,0.0,False,False,employed,40,194603.61090790216,4,0.0,False,False,employed
23,0,59720.28415046411,2,0.0,False,False,employed,40,233632.85089731443,4,0.0,False,False,employed
24,0,2771.8855463612363,0,0.0,False,False,employed,40,19527.076718866443,0,0.0,False,False,employed
25,0,111765.95837013115,2,0.0,False,False,employed,40,275901.608730921,4,0.0,False,False,employed
26,0,66928.17320651948,1,0.0,False,False,employed,40,311014.9462261217,4,0.0,False,False,employed
27,0,1585.1337373324443,0,0.0,False,False,employed,40,1875.0642008972486,0,0.0,False,False,employed
28,0,157986.8089247545,3,0.0,True,False,employed,40,568412.0709370604,4,10.209241267705995,False,False,employed
29,0,108501.17218640582,2,0.0,False,False,employed,40,51266.276224700705,1,0.0,False,False,employed
30,0,54946.1180700558,1,0.0,False,False,employed,40,309335.4458598291,4,0.0,False,False,employed
31,0,584796.7893156664,4,0.0,False,False,employed,40,1163724.8194136706,4,0.0,False,False,employed
32,0,103190.66792621656,3,0.0,False,False,employed,40,233889.144106416,4,0.0,False,False,employed
33,0,66764.83964928404,1,0.0,False,False,unemployed,40,36613.44617346335,1,0.0,False,False,employed
34,0,33776.63954475186,0,0.0,False,False,employed,40,213322.0751285337,4,0.0,False,False,employed
35,0,4510.965094606367,0,0.0,False,False,employed,40,2343.8785763449073,0,0.0,False,False,employed
36,0,23285.653041933787,0,0.0,False,False,employed,40,81880.94014973004,2,0.0,False,False,employed
37,0,8028.880765375857,0,0.0,False,False,employed,40,5954.585398583769,0,0.0,False,False,employed
38,0,213741.71339235269,4,0.0,False,False,employed,40,364389.9032426253,4,0.0,False,False,employed
39,0,202683.94935346194,4,0.0,False,False,employed,40,125063.99445300999,3,0.0,False,False,employed
40,0,886628.4198355151,4,0.0,False,False,employed,40,1871580.5484499473,4,0.0,False,False,employed
41,0,728481.8642177832,4,0.0,False,False,employed,40,862779.665190576,4,0.0,False,False,employed
42,0,446451.9488031689,4,0.0,False,False,employed,40,840666.5096190923,4,0.0,False,False,employed
43,0,281434.1106675253,4,0.0,False,False,employed,40,183403.977218152,4,0.0,False,False,employed
44,0,101351.11622056534,2,0.0,True,False,employed,40,561420.6226800993,4,8.95100836671189,False,False,employed
45,0,126787.4927504186,3,0.0,False,False,employed,40,161254.2944132374,4,0.0,False,False,employed
46,0,110257.33813700662,1,0.0,False,False,employed,40,106822.50614861558,3,0.0,False,False,employed
47,0,71707.01462572586,2,0.0,False,False,employed,40,63214.06515056405,2,0.0,False,False,employed
48,0,5761.555870564202,0,0.0,False,False,employed,40,53358.82638271825,1,0.0,False,False,employed
49,0,177370.29792865118,3,0.0,False,False,employed,40,620343.1393212444,4,0.0,False,False,employed
50,0,61820.05326016785,2,0.0,False,False,employed,40,118855.89961582051,3,0.0,False,False,employed
51,0,63502.36523588923,2,0.0,False,False,employed,40,86243.3634574141,2,0.0,False,False,employed
52,0,230189.31321251913,3,0.0,False,False,employed,40,691591.0490597221,4,0.0,False,False,employed
53,0,72719.54956654545,2,0.0,False,False,not_in_lf,40,72719.54956654545,2,0.0,False,False,not_in_lf
54,0,171678.03261413646,2,0.0,False,False,employed,40,468589.33464773773,4,0.0,False,False,employed
55,0,349668.6001348555,4,0.0,False,False,employed,40,666451.4363893558,4,0.0,False,False,employed
56,0,35362.97472693392,1,0.0,False,False,employed,40,53960.871966565624,1,0.0,False,False,employed
57,0,284278.5129974007,4,0.0,False,False,employed,40,1165236.9565199031,4,0.0,False,False,employed
58,0,1992.4276591107541,0,0.0,False,False,employed,40,4924.486181741313,0,0.0,False,False,employed
59,0,444412.8376146483,4,0.0,False,False,employed,40,2096035.229613731,4,0.0,False,False,employed
60,0,155341.8074210437,2,0.0,False,False,employed,40,693055.5531468944,4,0.0,False,False,employed
61,0,77707.26988981082,1,0.0,False,False,employed,40,54730.95900403333,1,0.0,False,False,employed
62,0,273712.21276918316,3,0.0,False,False,employed,40,1368820.8219320977,4,0.0,False,False,employed
63,0,59018.329124036754,1,0.0,False,False,employed,40,144602.95544822252,3,0.0,False,False,employed
64,0,159633.55150550365,4,0.0,False,False,employed,40,466377.10894363676,4,0.0,False,False,employed
65,0,39369.50814934635,0,0.0,False,False,employed,40,72985.93186208383,2,0.0,False,False,employed
66,0,55731.204089177394,2,0.0,False,False,employed,40,124918.30890985102,3,0.0,False,False,employed
67,0,46256.51811089998,1,0.0,False,False,employed,40,128035.83755246075,3,0.0,False,False,employed
68,0,189115.69908103236,2,0.0,False,False,employed,40,324608.5520561475,4,0.0,False,False,employed
69,0,62017.70780473869,2,0.0,False,False,employed,40,41265.30240281484,1,0.0,False,False,employed
70,0,182984.50578791194,2,0.0,False,False,employed,40,401560.14526333584,4,0.0,False,False,employed
71,0,4678.800274883161,0,0.0,True,False,employed,40,9981.627355994353,0,9.951489937185155,False,False,employed
72,0,8379.093612754137,0,0.0,False,False,employed,40,3121.930052693906,0,0.0,False,False,employed
73,0,2946.4059264912908,0,0.0,False,False,employed,40,3835.3362834637223,0,0.0,False,False,employed
74,0,79878.83956624787,2,0.0,False,False,employed,40,491966.2542910788,4,0.0,False,False,employed
75,0,244615.1829125196,4,0.0,False,False,employed,40,328564.82642476715,4,0.0,False,False,employed
76,0,773215.8574992055,4,0.0,False,False,employed,40,855210.7448181142,4,0.0,False,False,employed
77,0,413211.267427819,4,0.0,False,False,employed,40,299596.773436636,4,0.0,False,False,employed
78,0,45307.87762750822,1,0.0,False,False,employed,40,166151.59498709702,4,0.0,False,False,employed
79,0,91693.58838300339,1,0.0,True,False,employed,40,66540.60558764351,2,2.22485362554508,False,False,employed
80,0,128719.58519261506,2,0.0,False,False,employed,40,283010.0083468122,4,0.0,False,False,employed
81,0,496763.7582356125,4,0.0,False,False,employed,40,743126.491022945,4,0.0,False,False,employed
82,0,141054.92252499785,3,0.0,False,False,employed,40,196163.8021274424,4,0.0,False,False,employed
83,0,877429.2021900241,4,0.0,False,False,employed,40,2578254.8730802955,4,0.0,False,False,employed
84,0,100763.38666680723,3,0.0,False,False,employed,40,222606.94813613754,4,0.0,False,False,employed
85,0,59441.361433821316,0,0.0,False,False,employed,40,194087.41010335778,4,0.0,False,False,employed
86,0,421405.98896018707,4,0.0,False,False,employed,40,741269.2969579439,4,0.0,False,False,employed
87,0,958.6465044869276,0,0.0,False,False,not_in_lf,40,958.6465044869276,0,0.0,False,False,not_in_lf
88,0,275319.6553345861,4,0.0,True,False,employed,40,692306.323232473,4,10.822147846277836,False,False,employed
89,0,29037.22210690913,0,0.0,False,False,employed,40,52756.72026723063,1,0.0,False,False,employed
90,0,82056.81611185826,1,0.0,False,False,employed,40,445631.9256402905,4,0.0,False,False,employed
91,0,500703.2592936446,4,0.0,False,False,employed,40,1406658.295350711,4,0.0,False,False,employed
92,0,328770.36212774867,4,0.0,False,False,employed,40,644747.2332893222,4,0.0,False,False,employed
93,0,270699.9764934125,3,0.0,False,False,employed,40,1776750.4436790466,4,0.0,False,False,employed
94,0,80171.15831934655,3,0.0,False,False,employed,40,160636.99255756367,3,0.0,False,False,employed
95,0,87192.53719656481,1,0.0,False,False,employed,40,129568.58476433753,3,0.0,False,False,employed
96,0,58539.531562525175,1,0.0,False,False,employed,40,72699.9839570428,2,0.0,False,False,employed
97,0,11150.78294583436,0,0.0,False,False,employed,40,47922.96870298846,1,0.0,False,False,employed
98,0,66792.09737300973,1,0.0,False,False,employed,40,287272.03040067403,4,0.0,False,False,employed
99,0,165826.86251175747,2,0.0,False,False,employed,40,300555.36720724154,4,0.0,False,False,employed
100,0,146109.3760334286,3,0.0,False,False,employed,40,369612.7597491992,4,0.0,False,False,employed
101,0,15406.194525931252,0,0.0,False,False,employed,40,33566.54185013958,1,0.0,False,False,employed
102,0,21050.90913079816,0,0.0,False,False,employed,40,54620.984831285255,1,0.0,False,False,employed
103,0,105858.14093436609,1,0.0,False,False,employed,40,116259.6579653346,3,0.0,False,False,employed
104,0,21288.491703442876,0,0.0,False,False,employed,40,32237.020433536338,1,0.0,False,False,employed
105,0,50212.59228621743,0,0.0,False,False,employed,40,236466.3349416263,4,0.0,False,False,employed
106,0,314244.4356052183,4,0.0,False,False,employed,40,241322.8139654014,4,0.0,False,False,employed
107,0,182623.4435661904,2,0.0,False,False,employed,40,98837.29517331513,3,0.0,False,False,employed
108,0,328994.8923370836,3,0.0,False,False,employed,40,382097.6631445826,4,0.0,False,False,employed
109,0,1063212.6759733227,4,0.0,False,False,employed,40,2274095.895479217,4,0.0,False,False,employed
